906,451,V,Atlanta,3,3,0,6,12,46.5,pk,-119,pk,1
906,452,H,Philadelphia,0,3,7,8,18,4,44,-101,21,1
909,453,V,Pittsburgh,0,7,14,0,21,6.5,3.5,-185,pk,2
909,454,H,Cleveland,0,0,7,14,21,47,41,155,20,2
909,455,V,SanFrancisco,0,3,10,3,16,47,46,230,21.5,3
909,456,H,Minnesota,3,7,14,0,24,4.5,6,-280,0.5,3
909,457,V,Cincinnati,3,7,7,17,34,47,1,-115,1.5,4
909,458,H,Indianapolis,3,13,7,0,23,1,47.5,-105,24,4
909,459,V,Buffalo,0,0,3,0,3,42.5,38.5,290,17,5
909,460,H,Baltimore,14,12,14,7,47,3.5,7.5,-380,1.5,5
909,461,V,Jacksonville,3,10,0,7,20,3.5,3,-145,20.5,6
909,462,H,NYGiants,3,3,3,6,15,44,42.5,125,pk,6
909,463,V,TampaBay,14,17,10,7,48,51.5,49.5,400,27.5,7
909,464,H,NewOrleans,10,14,0,16,40,7,10,-550,9.5,7
909,465,V,Houston,3,3,7,7,20,51,49.5,225,24,8
909,466,H,NewEngland,7,14,3,3,27,6.5,6,-275,pk,8
909,467,V,Tennessee,3,0,0,17,20,2.5,43.5,-110,0.5,9
909,468,H,Miami,0,7,3,17,27,46.5,pk,-110,20.5,9
909,469,V,KansasCity,14,3,14,7,38,47.5,48.5,160,24.5,10
909,470,H,LAChargers,6,6,0,16,28,3,3.5,-190,3,10
909,471,V,Seattle,7,3,7,7,24,42.5,43,160,pk,11
909,472,H,Denver,7,10,3,7,27,1.5,3,-190,21.5,11
909,473,V,Dallas,0,0,0,8,8,44,42,145,21,12
909,474,H,Carolina,0,10,0,6,16,2.5,3,-170,pk,12
909,475,V,Washington,0,21,0,3,24,44,43.5,115,21,13
909,476,H,Arizona,0,0,0,6,6,pk,2,-135,2.5,13
909,477,V,Chicago,7,10,3,3,23,47.5,45,250,pk,14
909,478,H,GreenBay,0,0,3,21,24,8.5,7,-310,20,14
910,479,V,NYJets,7,10,31,0,48,44,44,280,23,15
910,480,H,Detroit,7,3,7,0,17,6.5,7,-360,6.5,15
910,481,V,LARams,7,3,10,13,33,1,6.5,-300,6,16
910,482,H,Oakland,7,6,0,0,13,49.5,47,240,24.5,16
913,101,V,Baltimore,0,14,3,6,23,2,1,-120,3,17
913,102,H,Cincinnati,14,14,0,6,34,44.5,43.5,100,23,17
916,261,V,Indianapolis,7,7,0,7,21,47.5,48.5,210,24,18
916,262,H,Washington,0,3,3,3,9,4.5,6,-260,6,18
916,263,V,Carolina,3,7,0,14,24,44,43.5,190,21,19
916,264,H,Atlanta,3,14,7,7,31,5.5,5.5,-240,0.5,19
916,265,V,Minnesota,7,0,0,22,29,47,1.5,-125,3.5,20
916,266,H,GreenBay,7,10,3,9,29,2,44.5,105,22.5,20
916,267,V,LAChargers,14,14,0,3,31,7,7.5,-360,3.5,21
916,268,H,Buffalo,0,6,7,7,20,44.5,41.5,280,20,21
916,269,V,Houston,0,7,3,7,17,2.5,3.5,-200,4,22
916,270,H,Tennessee,14,0,0,6,20,45,40.5,170,20.5,22
916,271,V,KansasCity,21,0,14,7,42,50.5,53,180,28,23
916,272,H,Pittsburgh,0,21,7,9,37,4,4.5,-220,3.5,23
916,273,V,Miami,7,13,0,0,20,44,43,145,21,24
916,274,H,NYJets,0,0,6,6,12,3.5,3,-170,4.5,24
916,275,V,Philadelphia,0,7,7,7,21,3,3,-160,4,25
916,276,H,TampaBay,7,13,7,0,27,44,46.5,140,23.5,25
916,277,V,Cleveland,3,3,6,6,18,47.5,51,400,24,26
916,278,H,NewOrleans,3,0,0,18,21,9,9.5,-550,7,26
916,279,V,Arizona,0,0,0,0,0,46.5,43.5,650,20.5,27
916,280,H,LARams,0,19,8,7,34,13,12,-1000,6,27
916,281,V,Detroit,7,3,3,14,27,47,48.5,225,24,28
916,282,H,SanFrancisco,3,10,14,3,30,5.5,6,-275,3,28
916,283,V,NewEngland,0,3,7,10,20,2.5,1.5,-125,4.5,29
916,284,H,Jacksonville,14,7,3,7,31,45,44.5,105,23,29
